x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,label
0.415513,0.392090,0.422775,0.369539,0.428525,0.368976,0.433735,0.368749,0.407463,0.372948,0.403225,0.374481,0.399377,0.375907,0.441504,0.381609,0.397191,0.387113,0.428621,0.415109,0.409477,0.420005,0.494953,0.517112,0.352599,0.544254,0.588681,0.528845,0.238146,0.565004,0.686113,0.533215,0.131212,0.585349,0.722048,0.534282,0.097551,0.580630,0.723900,0.533269,0.095900,0.575715,0.706895,0.534904,0.108117,0.580338,0.468500,0.889764,0.385555,0.900785,0.463493,1.150295,0.389277,1.170537,0.477192,1.419784,0.409977,1.435576,0.482659,1.461947,0.413746,1.473484,0.468681,1.483662,0.413037,1.506347,earth
0.415518,0.392024,0.422788,0.369498,0.428536,0.368921,0.433745,0.368664,0.407505,0.372923,0.403316,0.374446,0.399485,0.375850,0.441511,0.381595,0.397491,0.387111,0.428629,0.414750,0.409559,0.419645,0.495251,0.516080,0.353215,0.544259,0.588985,0.529821,0.238593,0.564938,0.685951,0.533246,0.132009,0.585345,0.722064,0.534324,0.097737,0.580626,0.723902,0.533298,0.096122,0.575771,0.706752,0.534911,0.108316,0.580367,0.468550,0.881139,0.385552,0.898122,0.464840,1.145245,0.390094,1.173088,0.479143,1.411134,0.410107,1.440787,0.484175,1.451110,0.413761,1.479263,0.472146,1.477278,0.413564,1.511275,earth
0.415938,0.392387,0.422996,0.369881,0.428791,0.369278,0.434038,0.369026,0.407653,0.373389,0.403461,0.374908,0.399673,0.376318,0.441720,0.381707,0.397667,0.387612,0.429024,0.415329,0.409927,0.420400,0.495280,0.516852,0.354085,0.544863,0.589051,0.529844,0.238744,0.564862,0.685774,0.532768,0.131362,0.585154,0.721439,0.534212,0.097087,0.579689,0.723434,0.533243,0.095623,0.575264,0.706249,0.534692,0.107646,0.580226,0.468993,0.883056,0.386003,0.901379,0.467950,1.146590,0.393880,1.174189,0.482622,1.416965,0.413446,1.454122,0.486803,1.458490,0.416352,1.495715,0.479127,1.481120,0.419819,1.522790,earth
0.415944,0.392152,0.423112,0.369680,0.428922,0.369136,0.434178,0.368932,0.407744,0.373094,0.403536,0.374558,0.399747,0.375895,0.441873,0.381701,0.397727,0.387431,0.429035,0.415069,0.409834,0.419965,0.495281,0.516828,0.353567,0.545017,0.589148,0.530909,0.238532,0.564957,0.685984,0.532759,0.131355,0.585140,0.722085,0.534129,0.097254,0.579906,0.724044,0.533164,0.095811,0.575254,0.706664,0.534636,0.107714,0.580217,0.469680,0.883478,0.386433,0.903324,0.472227,1.149407,0.397555,1.183935,0.487915,1.420537,0.417772,1.475247,0.491706,1.461005,0.421120,1.517416,0.484218,1.488607,0.422928,1.547360,earth
0.416551,0.392148,0.423613,0.369678,0.429266,0.369148,0.434358,0.368966,0.408209,0.373080,0.403853,0.374542,0.399954,0.375884,0.441977,0.381796,0.397732,0.387429,0.429406,0.415094,0.410077,0.419962,0.495298,0.518948,0.352375,0.544940,0.588826,0.531556,0.237095,0.565000,0.685999,0.532631,0.129315,0.585120,0.722134,0.533567,0.096244,0.579785,0.724140,0.532612,0.094689,0.575131,0.706823,0.534181,0.106313,0.580194,0.469825,0.883595,0.386270,0.904462,0.473511,1.154464,0.398181,1.192544,0.489880,1.428824,0.419391,1.489514,0.493463,1.470041,0.422955,1.532790,0.486251,1.497804,0.424898,1.562100,earth
0.416628,0.392353,0.423703,0.369981,0.429330,0.369418,0.434405,0.369219,0.408338,0.373421,0.404021,0.374890,0.400109,0.376283,0.442071,0.381983,0.397855,0.387833,0.429618,0.415312,0.410291,0.420482,0.496204,0.518903,0.352580,0.544912,0.589027,0.531169,0.237631,0.565048,0.686011,0.532545,0.129796,0.584954,0.722195,0.533565,0.097920,0.579735,0.724195,0.532639,0.095925,0.574670,0.706937,0.534218,0.107044,0.579785,0.470730,0.883300,0.386572,0.902622,0.476168,1.154727,0.399130,1.193620,0.490729,1.429692,0.419234,1.489867,0.493910,1.470888,0.422629,1.532755,0.487326,1.498397,0.425165,1.563072,earth
0.416629,0.392295,0.423710,0.369967,0.429341,0.369404,0.434454,0.369213,0.408349,0.373415,0.404046,0.374885,0.400170,0.376281,0.442217,0.381977,0.398060,0.387831,0.429630,0.415291,0.410292,0.420477,0.496598,0.519430,0.353041,0.544743,0.589309,0.533263,0.238992,0.565032,0.686717,0.532489,0.132508,0.584611,0.722218,0.533238,0.101931,0.579437,0.724218,0.532385,0.099541,0.574140,0.707202,0.534027,0.110515,0.579422,0.470841,0.883399,0.386628,0.902641,0.476485,1.157345,0.399400,1.195174,0.491091,1.434078,0.419221,1.492470,0.494398,1.475544,0.422596,1.535838,0.486946,1.503933,0.424714,1.565446,earth
0.416784,0.392392,0.423909,0.370095,0.429600,0.369546,0.434807,0.369361,0.408490,0.373524,0.404184,0.375003,0.400342,0.376408,0.442547,0.382096,0.398296,0.387913,0.429747,0.415347,0.410331,0.420554,0.496734,0.519388,0.353115,0.544746,0.589332,0.534482,0.239343,0.565214,0.686732,0.532568,0.132714,0.584511,0.722048,0.533371,0.102115,0.579390,0.724183,0.532592,0.099865,0.574136,0.707156,0.534184,0.110911,0.579323,0.470843,0.883636,0.386619,0.903468,0.476179,1.162772,0.398715,1.198962,0.489380,1.441274,0.416100,1.497857,0.491934,1.482788,0.418551,1.540973,0.486245,1.512393,0.422564,1.572570,earth
0.416786,0.392935,0.423958,0.370617,0.429671,0.370038,0.434888,0.369831,0.408542,0.374067,0.404239,0.375547,0.400385,0.377001,0.442651,0.382484,0.398394,0.388353,0.429795,0.415753,0.410351,0.420875,0.496954,0.519358,0.353729,0.544210,0.590466,0.534477,0.239330,0.565191,0.686767,0.532680,0.132701,0.584168,0.722349,0.533654,0.102006,0.579385,0.724585,0.532918,0.099765,0.574108,0.707218,0.534407,0.110737,0.579249,0.470855,0.883498,0.386632,0.900323,0.476150,1.160154,0.398575,1.196626,0.488957,1.435001,0.415188,1.489607,0.491620,1.475926,0.417608,1.531987,0.484911,1.503157,0.420387,1.561217,earth
0.417501,0.393136,0.424586,0.370767,0.430325,0.370139,0.435540,0.369879,0.409000,0.374363,0.404649,0.375877,0.400838,0.377364,0.443208,0.382487,0.398890,0.388501,0.430679,0.415751,0.410745,0.420977,0.497881,0.519207,0.355546,0.544150,0.590477,0.535232,0.241717,0.565168,0.686796,0.532723,0.134075,0.583884,0.722498,0.533819,0.102425,0.579291,0.724764,0.533010,0.100454,0.574098,0.707249,0.534427,0.112459,0.579068,0.471369,0.884301,0.387094,0.900611,0.476373,1.161654,0.399008,1.197664,0.489041,1.435233,0.415451,1.489600,0.491656,1.476046,0.417820,1.531939,0.485142,1.502085,0.420924,1.561186,earth
