x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,label
0.557490,0.319799,0.562824,0.301821,0.565969,0.301689,0.568953,0.301782,0.552071,0.303301,0.548302,0.303973,0.544624,0.304780,0.573265,0.311371,0.539330,0.313717,0.563646,0.334739,0.550440,0.336232,0.606553,0.405945,0.511797,0.407167,0.674264,0.413981,0.444201,0.423215,0.729237,0.427048,0.386977,0.429676,0.752479,0.427261,0.363697,0.431434,0.749537,0.427504,0.365753,0.427836,0.739981,0.428262,0.374850,0.428884,0.588534,0.681472,0.533818,0.683115,0.585683,0.884651,0.534164,0.881512,0.587912,1.027872,0.533274,1.025089,0.582842,1.051066,0.540142,1.058701,0.586344,1.113238,0.530655,1.099521,earth
0.557641,0.319805,0.562916,0.301826,0.566044,0.301696,0.569026,0.301790,0.552198,0.303302,0.548409,0.303973,0.544729,0.304780,0.573295,0.311390,0.539395,0.313717,0.563732,0.334741,0.550553,0.336234,0.606553,0.405963,0.511817,0.407207,0.674149,0.413986,0.444455,0.423447,0.728967,0.427048,0.387433,0.429440,0.752213,0.427261,0.364025,0.431115,0.749061,0.427527,0.366990,0.427434,0.739460,0.428281,0.376364,0.428743,0.588535,0.681474,0.533838,0.683092,0.585684,0.884648,0.534151,0.881308,0.587929,1.028045,0.533206,1.024905,0.582841,1.052667,0.540026,1.058607,0.586249,1.113463,0.530655,1.098015,earth
0.557641,0.319792,0.562919,0.301819,0.566046,0.301687,0.569027,0.301779,0.552201,0.303296,0.548413,0.303966,0.544734,0.304769,0.573300,0.311389,0.539406,0.313688,0.563732,0.334734,0.550554,0.336218,0.606560,0.405964,0.511832,0.407252,0.674148,0.413980,0.444382,0.423419,0.728915,0.427055,0.387261,0.429444,0.752212,0.427290,0.363880,0.431114,0.749037,0.427559,0.366381,0.427437,0.739411,0.428301,0.375758,0.428742,0.588535,0.681476,0.533844,0.683217,0.585684,0.885478,0.534151,0.881445,0.587793,1.036129,0.533183,1.025253,0.582844,1.056181,0.539939,1.059135,0.586124,1.115518,0.530652,1.098292,earth
0.557642,0.319779,0.562921,0.301812,0.566050,0.301678,0.569032,0.301766,0.552203,0.303294,0.548415,0.303964,0.544735,0.304768,0.573304,0.311362,0.539406,0.313685,0.563734,0.334705,0.550553,0.336200,0.606554,0.405984,0.511830,0.407224,0.674156,0.413990,0.444268,0.423434,0.729003,0.427058,0.387231,0.429436,0.752238,0.427290,0.363752,0.431121,0.749042,0.427554,0.366385,0.427439,0.739430,0.428297,0.375777,0.428692,0.588537,0.681481,0.533841,0.683218,0.585684,0.885303,0.534156,0.881460,0.587764,1.034336,0.533217,1.024698,0.582843,1.056113,0.539975,1.059036,0.586120,1.115459,0.530907,1.098288,earth
0.557800,0.319800,0.562996,0.301816,0.566105,0.301683,0.569089,0.301772,0.552322,0.303298,0.548508,0.303971,0.544816,0.304776,0.573318,0.311380,0.539431,0.313691,0.563822,0.334722,0.550667,0.336211,0.606533,0.405985,0.511818,0.407211,0.674075,0.413992,0.444367,0.423572,0.728758,0.427056,0.387308,0.429436,0.752006,0.427290,0.363860,0.431010,0.748600,0.427571,0.366376,0.427413,0.738917,0.428307,0.375764,0.428695,0.588544,0.681482,0.533861,0.683223,0.585684,0.885216,0.534153,0.881450,0.587846,1.033836,0.533196,1.023627,0.582804,1.056149,0.539905,1.059022,0.586114,1.115306,0.530901,1.097512,earth
0.557797,0.319773,0.562993,0.301799,0.566100,0.301666,0.569084,0.301757,0.552321,0.303287,0.548508,0.303965,0.544815,0.304773,0.573316,0.311377,0.539422,0.313691,0.563818,0.334691,0.550661,0.336188,0.606501,0.406042,0.511816,0.407230,0.673975,0.413988,0.444364,0.423567,0.728757,0.426991,0.387307,0.429395,0.752006,0.427196,0.363845,0.430820,0.748604,0.427492,0.366508,0.426941,0.738926,0.428243,0.375626,0.428551,0.588545,0.681366,0.533866,0.683161,0.585683,0.885178,0.534154,0.880855,0.587812,1.033771,0.533117,1.023149,0.582777,1.056944,0.539851,1.059018,0.586106,1.115470,0.529578,1.102410,earth
0.557763,0.319759,0.562978,0.301795,0.566091,0.301658,0.569079,0.301745,0.552298,0.303287,0.548490,0.303965,0.544800,0.304773,0.573316,0.311337,0.539416,0.313694,0.563809,0.334673,0.550648,0.336179,0.606514,0.406051,0.511825,0.407212,0.673934,0.413984,0.444357,0.423525,0.728757,0.426894,0.387302,0.429393,0.752006,0.427056,0.363840,0.430812,0.748902,0.427351,0.366627,0.426945,0.739129,0.428149,0.375535,0.428551,0.588553,0.681367,0.533866,0.683168,0.585691,0.885558,0.534148,0.880892,0.587857,1.033508,0.533142,1.023200,0.582777,1.057256,0.539903,1.059080,0.586013,1.115753,0.530060,1.102291,earth
0.557763,0.319754,0.562983,0.301793,0.566103,0.301655,0.569098,0.301741,0.552297,0.303285,0.548490,0.303961,0.544800,0.304770,0.573351,0.311281,0.539417,0.313675,0.563821,0.334667,0.550650,0.336173,0.606617,0.405980,0.511900,0.407034,0.674065,0.413984,0.444285,0.423275,0.728987,0.426916,0.387180,0.429087,0.752183,0.427066,0.363599,0.430630,0.749043,0.427354,0.366057,0.426655,0.739319,0.428151,0.375102,0.428288,0.588583,0.681358,0.533869,0.683150,0.585692,0.884874,0.534171,0.880873,0.587764,1.030330,0.533225,1.022483,0.582776,1.055160,0.540035,1.057734,0.586006,1.113878,0.530438,1.099417,earth
0.557746,0.319752,0.562980,0.301792,0.566102,0.301654,0.569096,0.301743,0.552294,0.303278,0.548489,0.303951,0.544800,0.304757,0.573352,0.311305,0.539425,0.313670,0.563808,0.334669,0.550648,0.336169,0.606616,0.405982,0.511902,0.407084,0.674048,0.414004,0.444432,0.423295,0.728740,0.426914,0.389375,0.428663,0.752071,0.427100,0.366123,0.430573,0.748802,0.427374,0.370115,0.426571,0.739044,0.428151,0.377390,0.428017,0.588576,0.681359,0.533867,0.683118,0.585694,0.884705,0.534158,0.880684,0.587787,1.030292,0.533181,1.022515,0.582758,1.055165,0.540036,1.057731,0.586003,1.113797,0.530443,1.098412,earth
0.557725,0.319759,0.562973,0.301798,0.566098,0.301657,0.569094,0.301743,0.552278,0.303298,0.548479,0.303971,0.544794,0.304777,0.573361,0.311304,0.539425,0.313679,0.563806,0.334679,0.550643,0.336171,0.606634,0.406004,0.511931,0.407088,0.674010,0.414006,0.444418,0.423157,0.728634,0.426912,0.389346,0.428679,0.752024,0.427101,0.366091,0.430574,0.748687,0.427374,0.369578,0.426602,0.738915,0.428150,0.377173,0.428025,0.588576,0.681360,0.533862,0.683115,0.585719,0.884580,0.534160,0.880685,0.588174,1.029448,0.533185,1.023427,0.582798,1.055323,0.540035,1.058201,0.586218,1.113800,0.530727,1.098230,earth
