x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,label
0.521390,0.346496,0.528202,0.330285,0.532205,0.330596,0.535338,0.330913,0.516357,0.330299,0.513045,0.330567,0.510074,0.330988,0.540907,0.338558,0.507589,0.339089,0.530129,0.362024,0.515198,0.361808,0.573163,0.438715,0.481703,0.443267,0.584556,0.574582,0.473184,0.580263,0.579229,0.693252,0.477401,0.692806,0.580607,0.725031,0.477103,0.730763,0.572123,0.722526,0.485872,0.728510,0.569581,0.714902,0.488184,0.716747,0.555641,0.700048,0.504635,0.704088,0.565910,0.901237,0.512355,0.901954,0.571571,1.053387,0.509927,1.043272,0.569577,1.080786,0.521549,1.073750,0.574573,1.138711,0.510798,1.134357,idle
0.521412,0.346553,0.528252,0.330343,0.532267,0.330660,0.535401,0.330981,0.516390,0.330338,0.513087,0.330596,0.510116,0.331009,0.540942,0.338620,0.507629,0.339096,0.530158,0.362110,0.515209,0.361852,0.573162,0.438702,0.481720,0.443260,0.584590,0.574580,0.473247,0.580261,0.579264,0.693244,0.477359,0.692797,0.580711,0.725037,0.477020,0.730758,0.572253,0.722523,0.485790,0.728502,0.569696,0.714894,0.488090,0.716737,0.555605,0.700038,0.504628,0.704015,0.565910,0.901241,0.512330,0.901909,0.571625,1.053392,0.509924,1.043255,0.569602,1.081243,0.521563,1.073749,0.574632,1.138737,0.510882,1.134296,idle
0.521775,0.346558,0.528485,0.330400,0.532468,0.330698,0.535549,0.331002,0.516738,0.330451,0.513466,0.330726,0.510554,0.331146,0.540998,0.338639,0.508025,0.339325,0.530387,0.362101,0.515638,0.361865,0.573167,0.438678,0.482164,0.443261,0.584750,0.574566,0.473640,0.580295,0.579609,0.693146,0.477347,0.692943,0.581150,0.725014,0.476806,0.730950,0.572783,0.722460,0.485522,0.728670,0.570276,0.714769,0.487918,0.717794,0.555666,0.700070,0.504681,0.704013,0.565846,0.901248,0.512304,0.901873,0.571621,1.056111,0.510000,1.043516,0.569571,1.081004,0.521693,1.075072,0.574638,1.139981,0.511196,1.134921,idle
0.521803,0.346582,0.528538,0.330461,0.532521,0.330768,0.535599,0.331076,0.516799,0.330488,0.513534,0.330758,0.510635,0.331171,0.541097,0.338757,0.508141,0.339381,0.530430,0.362159,0.515682,0.361910,0.573206,0.438696,0.482238,0.443285,0.584813,0.574609,0.473707,0.580309,0.579769,0.693101,0.477233,0.692939,0.581341,0.725030,0.476729,0.731033,0.572987,0.722472,0.485399,0.728681,0.570458,0.714759,0.487708,0.717753,0.555667,0.700101,0.504682,0.704010,0.565860,0.901238,0.512283,0.901891,0.571558,1.056037,0.509998,1.044503,0.569413,1.079221,0.521632,1.075078,0.574633,1.139672,0.511192,1.134930,idle
0.521804,0.346698,0.528561,0.330551,0.532560,0.330864,0.535657,0.331180,0.516818,0.330574,0.513575,0.330835,0.510682,0.331243,0.541136,0.338884,0.508221,0.339461,0.530444,0.362315,0.515688,0.362030,0.573238,0.438698,0.482291,0.443306,0.584842,0.574600,0.473672,0.580298,0.579983,0.692194,0.476986,0.692740,0.581572,0.724946,0.476503,0.730714,0.573242,0.722300,0.485247,0.728494,0.570726,0.714532,0.487479,0.717166,0.555678,0.700064,0.504691,0.703933,0.565852,0.901377,0.512146,0.901872,0.571649,1.058675,0.509996,1.044959,0.569423,1.079755,0.521639,1.075455,0.574734,1.141439,0.511172,1.135283,idle
0.522122,0.346734,0.528819,0.330660,0.532748,0.330966,0.535806,0.331269,0.517121,0.330655,0.513847,0.330910,0.510968,0.331306,0.541226,0.338971,0.508449,0.339558,0.530676,0.362371,0.515983,0.362063,0.573259,0.438698,0.482366,0.443305,0.584932,0.574596,0.473544,0.580241,0.580150,0.691758,0.476986,0.692724,0.581756,0.724826,0.476481,0.730700,0.573439,0.722087,0.485228,0.728478,0.570908,0.714336,0.487504,0.717017,0.555682,0.700130,0.504711,0.703935,0.565851,0.901405,0.512124,0.901870,0.571395,1.057660,0.509764,1.045048,0.569035,1.080644,0.521117,1.075432,0.574602,1.141380,0.510880,1.135262,idle
0.522203,0.346743,0.528910,0.330671,0.532838,0.330980,0.535879,0.331287,0.517206,0.330667,0.513930,0.330921,0.511054,0.331315,0.541302,0.339021,0.508527,0.339585,0.530771,0.362391,0.516060,0.362093,0.573286,0.438701,0.482448,0.443315,0.584966,0.574593,0.473600,0.580259,0.580290,0.690821,0.476911,0.692693,0.581917,0.724663,0.476483,0.730689,0.573609,0.721849,0.485234,0.728466,0.571084,0.713643,0.487421,0.716930,0.555679,0.700159,0.504712,0.703911,0.565886,0.901523,0.512055,0.901884,0.571503,1.056652,0.509697,1.045565,0.569089,1.081207,0.521046,1.075672,0.574677,1.141363,0.510858,1.135509,idle
0.522349,0.346759,0.529034,0.330695,0.532957,0.330997,0.535979,0.331297,0.517334,0.330717,0.514057,0.330976,0.511182,0.331372,0.541340,0.339032,0.508607,0.339639,0.530912,0.362432,0.516186,0.362121,0.573333,0.438701,0.482485,0.443384,0.585603,0.574597,0.473574,0.580339,0.580316,0.690419,0.476765,0.692683,0.582005,0.724654,0.476326,0.730668,0.573679,0.721824,0.485076,0.728451,0.571135,0.713605,0.487254,0.716899,0.555682,0.700190,0.504710,0.703910,0.565894,0.901519,0.511952,0.901879,0.571506,1.056857,0.509671,1.045980,0.569250,1.083043,0.520961,1.076005,0.574845,1.141679,0.510840,1.135723,idle
0.522375,0.346937,0.529119,0.330865,0.533071,0.331158,0.536101,0.331445,0.517375,0.330868,0.514107,0.331101,0.511223,0.331476,0.541399,0.339141,0.508637,0.339667,0.530966,0.362724,0.516197,0.362291,0.573405,0.438701,0.482505,0.443406,0.585791,0.574594,0.473480,0.580362,0.580426,0.690406,0.476583,0.692622,0.582126,0.724645,0.476108,0.730402,0.573793,0.721820,0.484858,0.728178,0.571255,0.713600,0.487027,0.716517,0.555684,0.700166,0.504710,0.703803,0.565895,0.901540,0.511801,0.901877,0.571530,1.056774,0.509747,1.046701,0.569246,1.081796,0.521199,1.076175,0.574876,1.141967,0.510936,1.135797,idle
0.522658,0.346931,0.529354,0.330873,0.533282,0.331164,0.536265,0.331448,0.517631,0.330881,0.514341,0.331114,0.511449,0.331486,0.541490,0.339161,0.508732,0.339686,0.531181,0.362729,0.516426,0.362289,0.573440,0.438720,0.482500,0.443512,0.586381,0.574587,0.473386,0.580453,0.580489,0.690190,0.476400,0.692603,0.582258,0.724605,0.475921,0.730357,0.573915,0.721741,0.484647,0.728104,0.571337,0.713492,0.486819,0.716402,0.555612,0.700166,0.504668,0.703721,0.565878,0.901359,0.511652,0.901557,0.571458,1.055570,0.509672,1.046807,0.569245,1.082422,0.521028,1.076155,0.574867,1.141876,0.510902,1.135684,idle
