x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,label
0.485060,0.304733,0.490569,0.281539,0.494927,0.281488,0.498864,0.281851,0.475927,0.284307,0.470769,0.285813,0.465741,0.287541,0.504540,0.295891,0.459403,0.301460,0.494557,0.326765,0.475909,0.328676,0.554821,0.430746,0.414482,0.429574,0.648734,0.407629,0.321471,0.408102,0.752967,0.379968,0.222061,0.402562,0.777843,0.359906,0.189982,0.400233,0.778664,0.359533,0.189405,0.399366,0.770860,0.366588,0.202353,0.403937,0.525537,0.807970,0.445921,0.808772,0.504395,1.031137,0.437736,1.077674,0.492841,1.216730,0.441125,1.243284,0.492390,1.238347,0.440774,1.259924,0.486386,1.273503,0.448108,1.306868,earth
0.484204,0.304667,0.490160,0.281518,0.494669,0.281485,0.498687,0.281852,0.475419,0.284258,0.470320,0.285761,0.465382,0.287482,0.504524,0.295892,0.459327,0.301415,0.494165,0.326731,0.475468,0.328515,0.554895,0.430749,0.414536,0.429637,0.648641,0.408670,0.321522,0.408216,0.752474,0.382257,0.221725,0.403666,0.776767,0.363232,0.189962,0.401576,0.777593,0.362239,0.189367,0.400621,0.769821,0.369506,0.202265,0.405153,0.525523,0.808024,0.445719,0.808704,0.504427,1.037660,0.438219,1.078431,0.492921,1.220020,0.441099,1.246143,0.492477,1.242580,0.440633,1.263426,0.486378,1.277829,0.447900,1.310722,earth
0.484211,0.305005,0.490173,0.281736,0.494686,0.281684,0.498698,0.282028,0.475422,0.284499,0.470321,0.285986,0.465383,0.287709,0.504520,0.295979,0.459332,0.301470,0.494171,0.326896,0.475468,0.328795,0.554856,0.430786,0.414521,0.429680,0.648585,0.408620,0.321546,0.408623,0.751940,0.383209,0.221574,0.404127,0.776096,0.364614,0.189903,0.402042,0.777124,0.363563,0.189219,0.401077,0.769125,0.370492,0.202028,0.405549,0.525437,0.808010,0.445447,0.808553,0.503638,1.038276,0.437478,1.076550,0.492264,1.215033,0.440565,1.235578,0.491941,1.236427,0.440147,1.251313,0.484976,1.270029,0.447127,1.298660,earth
0.484194,0.305007,0.490165,0.281737,0.494676,0.281684,0.498684,0.282028,0.475410,0.284499,0.470307,0.285986,0.465362,0.287709,0.504514,0.295973,0.459313,0.301465,0.494160,0.326888,0.475459,0.328789,0.554853,0.430789,0.414482,0.429707,0.648568,0.408592,0.321499,0.408945,0.751564,0.383801,0.221049,0.404543,0.775595,0.365244,0.189597,0.402547,0.776705,0.364243,0.188937,0.401600,0.768604,0.371107,0.201668,0.406038,0.525212,0.808024,0.445136,0.808546,0.503404,1.038502,0.437382,1.076607,0.492036,1.217069,0.440109,1.237531,0.491662,1.238905,0.439518,1.253690,0.484731,1.272475,0.446659,1.301493,earth
0.484300,0.305225,0.490233,0.281976,0.494731,0.281936,0.498713,0.282274,0.475498,0.284643,0.470384,0.286097,0.465420,0.287803,0.504505,0.296163,0.459334,0.301476,0.494199,0.327031,0.475546,0.328963,0.554729,0.430831,0.414412,0.429752,0.648538,0.408980,0.320945,0.409085,0.751253,0.383548,0.220577,0.405197,0.775168,0.366071,0.189394,0.403273,0.776453,0.365050,0.188753,0.402447,0.768082,0.371689,0.201347,0.406837,0.525041,0.808386,0.445023,0.808795,0.503449,1.038630,0.437390,1.077599,0.492079,1.218380,0.440104,1.240552,0.491740,1.239801,0.439476,1.257185,0.485173,1.275318,0.446728,1.303606,earth
0.484345,0.305375,0.490235,0.282049,0.494734,0.281985,0.498714,0.282305,0.475510,0.284764,0.470391,0.286224,0.465423,0.287942,0.504495,0.296164,0.459293,0.301600,0.494208,0.327076,0.475562,0.329103,0.554660,0.430493,0.414415,0.429768,0.648185,0.409328,0.320983,0.409561,0.750903,0.383997,0.220647,0.405575,0.774708,0.366323,0.189703,0.403874,0.776049,0.365264,0.189074,0.403029,0.767628,0.371929,0.201537,0.407343,0.525005,0.808334,0.444879,0.808669,0.503093,1.039949,0.437242,1.077752,0.492042,1.219587,0.439929,1.240990,0.491669,1.241477,0.439313,1.258111,0.485167,1.277239,0.446607,1.304914,earth
0.484297,0.305372,0.490183,0.282047,0.494688,0.281976,0.498664,0.282287,0.475430,0.284766,0.470298,0.286229,0.465316,0.287952,0.504425,0.296145,0.459209,0.301601,0.494184,0.327055,0.475521,0.329106,0.554633,0.430585,0.414338,0.429783,0.648334,0.409287,0.320829,0.409605,0.751166,0.383956,0.220475,0.405807,0.775082,0.364757,0.189547,0.404160,0.776637,0.363872,0.188868,0.403355,0.767974,0.370836,0.201301,0.407643,0.524970,0.808502,0.444816,0.808683,0.503051,1.040119,0.437210,1.078216,0.492046,1.220730,0.439775,1.241647,0.491636,1.242880,0.439132,1.259141,0.485187,1.278542,0.446481,1.306020,earth
0.484091,0.305358,0.490092,0.282037,0.494614,0.281975,0.498599,0.282288,0.475355,0.284746,0.470243,0.286214,0.465271,0.287935,0.504425,0.296137,0.459154,0.301601,0.494032,0.327049,0.475417,0.329040,0.554715,0.430454,0.414346,0.429813,0.648544,0.408787,0.320867,0.409739,0.750824,0.384688,0.220208,0.406330,0.774688,0.365145,0.189369,0.404833,0.776279,0.364461,0.188658,0.403972,0.767536,0.371390,0.201197,0.408232,0.524969,0.808297,0.444380,0.808361,0.501692,1.041443,0.435998,1.079232,0.490974,1.222632,0.438113,1.243948,0.490849,1.245254,0.437895,1.262006,0.482345,1.280666,0.441654,1.309487,earth
0.484101,0.305360,0.490098,0.282035,0.494624,0.281975,0.498612,0.282289,0.475354,0.284738,0.470237,0.286209,0.465262,0.287935,0.504420,0.296140,0.459154,0.301587,0.494049,0.327054,0.475415,0.329056,0.554588,0.430478,0.414209,0.429822,0.648648,0.408329,0.320690,0.409506,0.750746,0.384015,0.219004,0.406300,0.774639,0.365276,0.188733,0.404867,0.776322,0.364563,0.187942,0.404049,0.767415,0.371331,0.200223,0.408395,0.524625,0.809117,0.443819,0.809355,0.501386,1.044361,0.435508,1.082130,0.490969,1.228301,0.437265,1.259685,0.490812,1.252459,0.436938,1.280918,0.482463,1.285392,0.441044,1.325454,earth
0.483535,0.305349,0.489802,0.282030,0.494416,0.281976,0.498461,0.282295,0.474961,0.284709,0.469861,0.286175,0.464941,0.287895,0.504345,0.296146,0.459026,0.301574,0.493701,0.327054,0.475059,0.328987,0.554587,0.430444,0.414217,0.429999,0.648379,0.408539,0.320716,0.409777,0.750605,0.384460,0.219086,0.406529,0.774592,0.366059,0.188840,0.405198,0.776258,0.365213,0.188054,0.404391,0.767396,0.372046,0.200322,0.408669,0.524759,0.809125,0.443637,0.809533,0.501435,1.046384,0.435527,1.082376,0.490893,1.231434,0.436986,1.267202,0.490609,1.256266,0.436683,1.290445,0.482498,1.288131,0.440584,1.333332,earth
