x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,label
0.500720,0.648261,0.519453,0.575175,0.533867,0.572478,0.547387,0.570253,0.476458,0.582257,0.462134,0.584095,0.450287,0.586241,0.565843,0.579664,0.437288,0.596376,0.530243,0.709948,0.478892,0.718754,0.675602,0.877955,0.345906,0.911682,0.753688,1.259875,0.287884,1.313552,0.765749,1.601452,0.262844,1.647556,0.789555,1.723078,0.237170,1.765056,0.757392,1.731569,0.265232,1.769683,0.743350,1.688667,0.280993,1.726086,0.630357,1.665547,0.416448,1.686398,0.624619,2.318705,0.426232,2.322255,0.627243,2.878459,0.435768,2.851197,0.632636,2.968973,0.434748,2.926995,0.594401,3.067403,0.463595,3.050709,earth
0.501233,0.648658,0.519837,0.575531,0.534163,0.572925,0.547629,0.570743,0.476766,0.582451,0.462328,0.584291,0.450359,0.586458,0.565867,0.580085,0.437307,0.596698,0.530409,0.710401,0.479314,0.719514,0.675598,0.878198,0.345857,0.912499,0.753650,1.259709,0.287605,1.314710,0.765955,1.602523,0.262664,1.648150,0.789980,1.725321,0.237093,1.765517,0.757857,1.734481,0.265147,1.769588,0.743753,1.691030,0.280927,1.726129,0.630692,1.666358,0.416468,1.688151,0.625198,2.318936,0.426323,2.324526,0.627595,2.878690,0.435875,2.856507,0.632846,2.968794,0.434928,2.932472,0.594857,3.068876,0.463597,3.057530,earth
0.501991,0.648402,0.520212,0.575419,0.534451,0.572850,0.547871,0.570689,0.477191,0.582310,0.462583,0.584183,0.450411,0.586387,0.565908,0.580133,0.437242,0.596810,0.530723,0.710189,0.479883,0.719347,0.675588,0.878556,0.345840,0.912975,0.754099,1.262373,0.287308,1.314637,0.766055,1.608888,0.261003,1.649918,0.790161,1.732857,0.234980,1.768256,0.757678,1.742378,0.263191,1.773839,0.743576,1.698253,0.279161,1.729836,0.630679,1.668659,0.416468,1.689410,0.624488,2.330654,0.425975,2.328613,0.625711,2.893240,0.435102,2.858350,0.630850,2.984340,0.434030,2.934109,0.592620,3.082799,0.462733,3.059015,earth
0.502070,0.648427,0.520357,0.575509,0.534613,0.573001,0.548033,0.570869,0.477202,0.582331,0.462607,0.584216,0.450437,0.586451,0.565976,0.580311,0.437204,0.596988,0.530762,0.710413,0.479914,0.719728,0.675577,0.878372,0.345766,0.913657,0.754535,1.260797,0.287247,1.316179,0.766057,1.608328,0.261188,1.652906,0.790011,1.732744,0.235481,1.771525,0.757512,1.742311,0.263491,1.776418,0.743445,1.698015,0.279343,1.732250,0.631074,1.668570,0.416520,1.690098,0.624991,2.328826,0.425993,2.328707,0.626310,2.891371,0.435201,2.862566,0.631559,2.981889,0.434242,2.938451,0.592856,3.082181,0.462697,3.065333,earth
0.502216,0.648617,0.520388,0.575551,0.534628,0.573034,0.548039,0.570917,0.477278,0.582408,0.462658,0.584323,0.450455,0.586590,0.565944,0.580291,0.437211,0.597082,0.530794,0.710448,0.480060,0.719984,0.675482,0.878279,0.346014,0.913630,0.754547,1.259093,0.287102,1.313793,0.765913,1.607477,0.260589,1.648117,0.789924,1.732157,0.234566,1.765375,0.757004,1.742201,0.262649,1.772185,0.742929,1.697957,0.278644,1.728594,0.631087,1.668301,0.416576,1.689773,0.624934,2.327900,0.425992,2.328250,0.625978,2.890090,0.435138,2.861604,0.631207,2.980495,0.434135,2.937057,0.592442,3.080733,0.462687,3.064112,earth
0.502892,0.651908,0.521040,0.577670,0.535291,0.574951,0.548685,0.572612,0.477753,0.584625,0.462983,0.586461,0.450653,0.588590,0.566225,0.581229,0.437223,0.598434,0.531167,0.713218,0.480500,0.723539,0.675486,0.877458,0.346067,0.913555,0.755591,1.247339,0.287052,1.313672,0.768507,1.601213,0.260868,1.648562,0.793511,1.725551,0.235013,1.765659,0.759989,1.737895,0.263126,1.773040,0.745615,1.694305,0.279057,1.729645,0.632253,1.662638,0.418413,1.687781,0.625783,2.318519,0.427554,2.321727,0.626835,2.872423,0.437559,2.850396,0.632008,2.959997,0.436892,2.924143,0.593542,3.066272,0.465163,3.054936,earth
0.503270,0.651695,0.521152,0.577572,0.535351,0.574852,0.548704,0.572516,0.478094,0.584495,0.463275,0.586326,0.450814,0.588464,0.566161,0.581171,0.437248,0.598402,0.531309,0.713034,0.480854,0.723112,0.675507,0.877447,0.346301,0.913352,0.755586,1.247198,0.287089,1.313606,0.765590,1.600606,0.260930,1.648279,0.789591,1.724591,0.235357,1.765564,0.753930,1.737070,0.263332,1.772389,0.740015,1.693835,0.279527,1.728963,0.632241,1.661330,0.418411,1.684823,0.625619,2.317079,0.427130,2.317969,0.624864,2.856396,0.434948,2.840022,0.629287,2.941980,0.433127,2.913925,0.592706,3.047447,0.464052,3.042681,earth
0.503431,0.653140,0.521254,0.579560,0.535433,0.576739,0.548764,0.574269,0.478161,0.586579,0.463358,0.588385,0.450938,0.590481,0.566184,0.582266,0.437385,0.599770,0.531475,0.713807,0.480956,0.723907,0.675635,0.877643,0.346973,0.913317,0.755554,1.247295,0.287603,1.313504,0.767677,1.600914,0.263166,1.648173,0.792356,1.724523,0.238006,1.764881,0.758322,1.736736,0.265955,1.772006,0.743982,1.693663,0.282371,1.728756,0.632329,1.659983,0.419436,1.683043,0.625613,2.302080,0.427639,2.299366,0.624152,2.845247,0.435392,2.822200,0.628348,2.929985,0.433892,2.896021,0.591796,3.038996,0.464039,3.024509,earth
0.503436,0.653661,0.521242,0.580397,0.535429,0.577474,0.548760,0.574915,0.478139,0.587599,0.463368,0.589420,0.450964,0.591516,0.566171,0.582635,0.437396,0.600792,0.531512,0.714222,0.480966,0.724477,0.675667,0.877323,0.347042,0.913291,0.755788,1.243742,0.287567,1.314837,0.768197,1.599366,0.265029,1.648312,0.792939,1.722878,0.240455,1.764612,0.759010,1.735905,0.269143,1.771233,0.744605,1.693043,0.285572,1.728158,0.633588,1.656713,0.420920,1.681588,0.626751,2.292750,0.429247,2.291983,0.624826,2.836483,0.437179,2.815793,0.629014,2.920713,0.436024,2.889463,0.592547,3.031492,0.465000,3.018245,earth
0.506155,0.653503,0.522994,0.580274,0.536852,0.577344,0.549800,0.574786,0.480725,0.587557,0.465946,0.589389,0.452751,0.591463,0.566555,0.582591,0.437876,0.600719,0.532800,0.714036,0.483353,0.724128,0.675666,0.877313,0.347196,0.913240,0.755260,1.243970,0.287849,1.314925,0.764259,1.599305,0.265069,1.648335,0.788433,1.722586,0.240553,1.764628,0.753205,1.735698,0.269215,1.771280,0.738793,1.692923,0.285788,1.728296,0.633565,1.654801,0.420898,1.677865,0.626441,2.292659,0.428269,2.290312,0.622637,2.829002,0.434225,2.808809,0.626163,2.912503,0.432274,2.882247,0.591122,3.022004,0.463688,3.010435,earth
0.506799,0.655129,0.523430,0.580951,0.537236,0.578011,0.550147,0.575442,0.481150,0.588123,0.466305,0.589915,0.453086,0.591957,0.566637,0.582872,0.438175,0.601161,0.533110,0.715210,0.484037,0.725601,0.675593,0.877083,0.347790,0.913214,0.754926,1.243826,0.288138,1.312059,0.764157,1.598994,0.265572,1.647830,0.788396,1.721551,0.240889,1.764228,0.753186,1.735336,0.269628,1.770793,0.738734,1.692796,0.286166,1.727896,0.633746,1.651583,0.421915,1.675442,0.627031,2.287789,0.429486,2.285940,0.623477,2.825128,0.436057,2.807471,0.627187,2.908319,0.434574,2.881445,0.591866,3.019272,0.464589,3.008898,earth
0.508451,0.654939,0.524735,0.580842,0.538278,0.577897,0.550871,0.575338,0.482747,0.588079,0.467707,0.589876,0.454166,0.591902,0.566806,0.582846,0.438535,0.601122,0.533803,0.715064,0.485212,0.725328,0.675597,0.877093,0.348171,0.912493,0.754905,1.244663,0.288184,1.311355,0.760483,1.598939,0.265709,1.647305,0.783002,1.721337,0.240917,1.763787,0.746524,1.734744,0.269973,1.770739,0.732715,1.692333,0.286503,1.727846,0.633630,1.650616,0.421772,1.671975,0.626516,2.287817,0.428256,2.284767,0.621240,2.821086,0.432454,2.803860,0.624411,2.904054,0.430049,2.878011,0.590268,3.013486,0.461818,3.004623,earth
